"Nome";"Categoria";"Telefone";"E-mail";"Site";"Tem site";"Instagram";"Tem Instagram";"Cidade";"Estado";"Status";"Tipo";"Score";"Avaliação";"Nº avaliações";"Fonte";"Google Maps";"Criado em"
"DISMAC MATERIAL DE CONSTRUÇÃO";"Loja de materiais de construção";"(77) 3424-7078";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"85";"4.5";"81";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJd34f-FY6RgcRiB1HHkvuZg8";"28/06/2026"
"Casa Marques";"Loja de materiais de construção";"(77) 3422-7800";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"83";"4.4";"200";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJjeLJvro7RgcRy17MzNoFef0";"28/06/2026"
"Piso Forte Material de Construção";"Loja de materiais de construção";"(77) 98830-2252";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"90";"4.1";"10";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJ40a6Yq87RgcRHO0wJey_Fho";"28/06/2026"
"Nova Casa Mat. de Construção";"Loja de materiais de construção";"(77) 3422-4132";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"87";"4.4";"27";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJjWB29Es6RgcRhRpgKontyXE";"28/06/2026"
"Solar Materiais de Construção e Madeira";"Loja";"(77) 3424-0318";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"89";"4.4";"16";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJW5L557E7RgcRcYe1uKOxyHM";"28/06/2026"
"Ll Material Para Construção";"Loja de materiais de construção";"";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"92";"5";"1";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJnRx26sg7RgcR2G2Dkp_YIWw";"28/06/2026"
"Imbores Ferramentas & Serviços";"Loja de ferramentas";"(77) 3422-3380";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"84";"4.3";"146";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJI2hgrKU7RgcR0MuLxN9SHUs";"28/06/2026"
"Dom Pedrito";"Loja";"(77) 98862-2625";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"88";"4.8";"13";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJH-OGegc7RgcRSwijb4sevpc";"28/06/2026"
"Delta Materiais Para Construção";"Loja de materiais de construção";"(77) 3425-1897";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"83";"4.5";"188";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJzY6mtRQ7RgcRet-3GSC66Gg";"28/06/2026"
"CasaShop Signature";"Loja de materiais de construção";"(77) 3028-6054";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"88";"4.7";"18";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJwaUjI447RgcRpVwoy5_p6eg";"28/06/2026"
"Tem de Tudo";"Loja";"(77) 3424-5934";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"84";"4.6";"130";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJ5YghQ9s7RgcRdOSlUTOD73U";"28/06/2026"
"Casa Das Fresas";"Loja de ferramentas";"(77) 3422-6274";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"91";"4.7";"3";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJMckBpbo7RgcRUtwBomKjqlI";"28/06/2026"
"Maq & Soldas";"Loja de ferramentas";"(77) 3422-9207";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"83";"4.5";"227";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJNYWecqU7RgcRrLRD3jKj9N0";"28/06/2026"
"Santana Gás Utilidades trabalho";"Atacadista";"(77) 3424-9296";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"82";"4.5";"323";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJwegTT647RgcRa1lFYGj-tqI";"28/06/2026"
"C. Amorim";"Loja de materiais de construção";"(77) 3429-3550";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"88";"3.9";"36";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJnzq4BLs7RgcRgiN-BJi0AQM";"28/06/2026"
"Ferragens Conquista - Ferramentas Manuais | Ferramentas Elétricas | EPIs | Soldagem | Automotivos";"Loja de materiais de construção";"(77) 3142-0131";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"88";"5";"13";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJpYLiSow7RgcRsxslOAuVqO8";"28/06/2026"
"Conquista Utilidades";"Loja";"(77) 3028-3397";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"83";"5";"107";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJ2_JyxNE7RgcRmwK-uC6WWjU";"28/06/2026"
"Bom Preço Material de Construção";"Loja de materiais de construção";"(77) 3424-6373";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"87";"4.1";"37";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJWRKX2lY6RgcRC7BqW8DliBs";"28/06/2026"
"Elétrica Light - Loja de Materiais Elétricos";"Serviços";"(77) 3421-4224";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"82";"4.9";"269";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJTxTRhK47RgcRoKk-YyJm1Rw";"28/06/2026"
"Nova Construlito";"Loja de materiais de construção";"(77) 3426-3699";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"85";"4.5";"90";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJX2T06nU8RgcRh-Q94RnnE4s";"28/06/2026"
"Matos E Souza";"Loja de materiais de construção";"(77) 3421-9436";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"89";"5";"6";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJjUJ-UbA7RgcRBqFReOF8WVo";"28/06/2026"
"Parafusauto";"Loja de ferramentas";"(77) 3202-7004";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"86";"4.4";"54";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJ1yG2pKc7RgcRANZy9blIf3Q";"28/06/2026"
"CONQUISTOUR - Turismo Receptivo em Vitória da Conquista";"Agência de turismo";"(77) 98822-6368";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"86";"5";"35";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJj7kbEvU7RgcRPWt2eJ5jzYU";"28/06/2026"
"Maxtour";"Agência de viagens";"(77) 2101-7999";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"86";"4.9";"29";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJVVV5w6w7RgcRMTXsvjadiuM";"28/06/2026"
"CVC Vitória da Conquista";"Agência de viagens";"(77) 98865-8383";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"86";"4.2";"66";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJ79V59fQ6RgcRAtaUcPCT89g";"28/06/2026"
"DSC Travel - Agência de Viagens";"Agência de viagens";"(77) 98822-9531";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"87";"4.9";"17";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJVVVJ26w7RgcRcHV6tNSpBEE";"28/06/2026"
"Nil Tur Viagens e Turismo";"Agência de viagens";"(77) 3421-3368";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"87";"4.7";"22";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJz9_MIlo6RgcR_bsiYF14L7A";"28/06/2026"
"Roberto Viagens Especias (Agência Vitória da Conquista)";"Serviço de mudança";"(77) 99999-0110";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"89";"4.5";"14";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJ4fthCUM7RgcRtjj_62iWdGk";"28/06/2026"
"Washingtur Turismo";"Agência de viagens";"(77) 3425-5629";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"85";"4.2";"131";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJYbmkSLE7RgcRQVftX6cl260";"28/06/2026"
"Natureasy";"Agência de viagens";"(77) 98824-7818";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"89";"5";"5";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJ0YHC8kQ7RgcRLljzJwQFkuc";"28/06/2026"
"@Turismo_Brisasdomar";"Agência de turismo";"(77) 98835-3569";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"96";"0";"0";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJx-WItXI9RgcRD6ui__mCw7A";"28/06/2026"
"Agência Gancho Rota";"Agência de viagens";"(77) 3421-1025";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"83";"4.2";"449";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJ5XziCAc7RgcRz7g329FP1Ns";"28/06/2026"
"Vitória da Conquista Viagens e Turismo";"Agência de viagens";"(77) 3421-1758";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"96";"0";"0";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJ-afj36w7RgcRauwXNrbv79k";"28/06/2026"
"Hadassa Tur";"Agência de viagens";"(31) 98895-1880";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"92";"5";"1";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJqzplH407RgcRkKc_5Bfm8Wc";"28/06/2026"
"Voo Mundo Viagens";"Agência de turismo";"(77) 98103-7575";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"92";"5";"1";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJ_bk_RSM7RgcRV9jnlM5XkcM";"28/06/2026"
"Viaje Mais";"Agência de turismo";"(77) 3421-3874";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"92";"3.7";"6";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJ-afj36w7RgcR4DAR1A__Zg8";"28/06/2026"
"Clube Turismo";"Agência de viagens";"(77) 98150-7872";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"90";"4.8";"4";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJAfG7TS07RgcRy2E6_bWVlik";"28/06/2026"
"Guichê Novo Horizonte rodoviária";"Agência de turismo";"(77) 3424-5060";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"86";"3.1";"2139";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJM7ueYz87RgcRWzWFiA53i2k";"28/06/2026"
"Travel Tour";"Agência de turismo";"(77) 99110-1022";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"96";"0";"0";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJkwfpnIA7RgcRdTC-irUp54M";"28/06/2026"
"Maxtour Viagens e Turismo";"Agência de viagens";"(77) 98149-7390";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"89";"5";"5";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJJRwBWoM7RgcRudCq59CGCzM";"28/06/2026"
"TW TUR";"Agência de turismo";"(77) 3424-2140";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"91";"5";"2";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJGdc8AFM6RgcRRz4gqYlU3Hc";"28/06/2026"
"Viação Cidade Sol";"Agência de viagens";"(77) 98119-2385";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"90";"4.2";"9";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJR4xYagA7RgcRKpl3mmwpz4o";"28/06/2026"
"Viação Jamjoy";"Agência de viagens";"(77) 98147-9377";"";"";"Não";"";"Não";"Av. Dep. Ulisses - Vitória da Conquista";"";"Novo";"Sem presença";"93";"3.7";"3";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJ37wFwPk7RgcRX4DF8EH6U2c";"28/06/2026"
"Paralelo Quatorze";"Agência de turismo";"(11) 94727-8668";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"96";"0";"0";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJwfhG6lI7RgcRQtJkGl90FJM";"28/06/2026"
"Catedral Metropolitana de Nossa Senhora das Vitórias";"Igreja";"(77) 3422-2427";"";"";"Não";"";"Não";"Vitória da Conquista";"BA";"Novo";"Sem presença";"82";"4.8";"1523";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJu5xVU0s6RgcRg8qDzJxMjzQ";"28/06/2026"
"Conquista Tour Vca";"Agência de turismo";"(77) 98879-2385";"";"";"Não";"";"Não";"R. B - Vitória da Conquista";"";"Novo";"Sem presença";"96";"0";"0";"google_maps";"https://www.google.com/maps/place/?q=place_id:ChIJMZmpSpAlRgcRna8SRKBENwQ";"28/06/2026"
